Test_Date,Module,Test,result,Detail,description,FW_ver,Test_Tool_ver,Security_Patch,SDK_ver,ABI
2025-01-06,CtsAppSecurityHostTestCases,android.appsecurity.cts.AdoptableHostTest#testPrimaryStorage,pass,java.lang.AssertionError: Expected success string but found Failure [-6],,v12.G8V_DE.131B_20250106_user,android-cts-12_r14-linux_x86 / 12458034,2025-01-01,1.10.9,armeabi-v7a
2025-01-06,CtsAppTestCases,android.app.cts.SystemFeaturesTest#testCameraFeatures,pass,java.lang.AssertionError: PackageManager#hasSystemFeature should NOT return true for android.hardware.camera.any,,v12.G8V_DE.131B_20250106_user,android-cts-12_r14-linux_x86 / 12458034,2025-01-01,1.10.9,armeabi-v7a
2025-01-06, CtsAppTestCases[instant],android.app.cts.SystemFeaturesTest#testCameraFeatures,pass,java.lang.AssertionError: PackageManager#hasSystemFeature should NOT return true for android.hardware.camera.any,,v12.G8V_DE.131B_20250106_user,android-cts-12_r14-linux_x86 / 12458034,2025-01-01,1.10.9,armeabi-v7a
2025-01-06,CtsCameraTestCases,android.hardware.camera2.cts.CameraManagerTest#testCameraManagerGetDeviceIdList[1],pass,junit.framework.AssertionFailedError: External camera is not connected on device with FEATURE_CAMERA_EXTERNAL,,v12.G8V_DE.131B_20250106_user,android-cts-12_r14-linux_x86 / 12458034,2025-01-01,1.10.9,armeabi-v7a
2025-01-06,CtsCameraTestCases,android.hardware.cts.CameraTest#testCameraExternalConnected,pass,junit.framework.AssertionFailedError: Devices with external camera support must have a camera connected for testing,,v12.G8V_DE.131B_20250106_user,android-cts-12_r14-linux_x86 / 12458034,2025-01-01,1.10.9,armeabi-v7a
2025-01-06,CtsCameraTestCases[instant],android.hardware.camera2.cts.CameraManagerTest#testCameraManagerGetDeviceIdList[1],pass,junit.framework.AssertionFailedError: External camera is not connected on device with FEATURE_CAMERA_EXTERNAL,,v12.G8V_DE.131B_20250106_user,android-cts-12_r14-linux_x86 / 12458034,2025-01-01,1.10.9,armeabi-v7a
2025-01-06,CtsCameraTestCases[instant],android.hardware.cts.CameraTest#testCameraExternalConnected,pass,junit.framework.AssertionFailedError: Devices with external camera support must have a camera connected for testing,,v12.G8V_DE.131B_20250106_user,android-cts-12_r14-linux_x86 / 12458034,2025-01-01,1.10.9,armeabi-v7a
2025-01-06,CtsGraphicsTestCases,android.graphics.fonts.SystemEmojiTest#uniquePostScript,pass,java.io.IOException: name table not found.,"8db  patch reflect 
adb console : settings put global show_dolby_aac_mode_menu 1
Audio Output > Dolby AAC Mode OFF 
>>  device.mk 에 prop을 설정하여 8db disable 부분 추가하여 3PL에 보내기로함",v12.G8V_DE.131B_20250106_user,android-cts-12_r14-linux_x86 / 12458034,2025-01-01,1.10.9,armeabi-v7a
2025-01-06,CtsGraphicsTestCases[instant],android.graphics.fonts.SystemEmojiTest#uniquePostScript,pass,java.io.IOException: name table not found.,"8db  patch reflect 
adb console : settings put global show_dolby_aac_mode_menu 1
Audio Output > Dolby AAC Mode OFF 
>>  device.mk 에 prop을 설정하여 8db disable 부분 추가하여 3PL에 보내기로함",v12.G8V_DE.131B_20250106_user,android-cts-12_r14-linux_x86 / 12458034,2025-01-01,1.10.9,armeabi-v7a
2025-01-06,CtsMediaTestCases,android.media.cts.DecoderTest#testDecodeAacEldM4a,pass,junit.framework.AssertionFailedError: c2.android.aac.decoder: decoding error too big: 9678.61219390466,"8db  patch reflect 
adb console : settings put global show_dolby_aac_mode_menu 1
Audio Output > Dolby AAC Mode OFF 
>>  device.mk 에 prop을 설정하여 8db disable 부분 추가하여 3PL에 보내기로함",v12.G8V_DE.131B_20250106_user,android-cts-12_r14-linux_x86 / 12458034,2025-01-01,1.10.9,armeabi-v7a
