CTS,,,,,,,,,,
Test Date,ABI,Module,Test,result,Detail,desc,F/W ver,TestTool ver,SecurityPatch,SDK ver
2025-05-07,arm64-v8a,CtsLibcoreTestCases,libcore.java.text.DateFormatTest#testFormat_forBug266731719,pass,"junit.framework.ComparisonFailure: expected:&lt;Jan 1, 2023 [9:55:48 PM]&gt; but was:&lt;Jan 1, 2023 [21:55:48]&gt;",retry >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsLibcoreTestCases,libcore.java.text.DateFormatTest#testParse_lenient_en,pass,junit.framework.AssertionFailedError: expected:&lt;1672610148000&gt; but was:&lt;1672566948000&gt;,retry >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,armeabi-v7a,CtsLibcoreTestCases,libcore.java.text.DateFormatTest#testFormat_forBug266731719,pass,"junit.framework.ComparisonFailure: expected:&lt;Jan 1, 2023 [9:55:48 PM]&gt; but was:&lt;Jan 1, 2023 [21:55:48]&gt;",retry >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,armeabi-v7a,CtsLibcoreTestCases,libcore.java.text.DateFormatTest#testParse_lenient_en,pass,junit.framework.AssertionFailedError: expected:&lt;1672610148000&gt; but was:&lt;1672566948000&gt;,retry >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsAppTestCases,android.app.cts.ActivityManagerFgsBgStartTest#testVisibleActivityGracePeriod,pass,junit.framework.AssertionFailedError: Service should not enter foreground service state,,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsAppTestCases[instant],android.app.cts.ActivityManagerFgsBgStartTest#testVisibleActivityGracePeriod,pass,junit.framework.AssertionFailedError: Service should not enter foreground service state,,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsGraphicsTestCases,android.graphics.drawable.cts.RippleDrawableTest#testWindowFocusChanged,pass,android.util.AndroidRuntimeException: Animators may only be run on Looper threads,false > true ,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,armeabi-v7a,CtsGraphicsTestCases,android.graphics.drawable.cts.RippleDrawableTest#testWindowFocusChanged,pass,android.util.AndroidRuntimeException: Animators may only be run on Looper threads,false > true ,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsHdmiCecHostTestCases,android.hdmicec.cts.common.HdmiCecStartupTest#cectVerifyStartupMessages_Cec14b,pass,Unexpected messages sent by the device,export cec setting all OFF >> PASS ,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsHdmiCecHostTestCases,android.hdmicec.cts.common.HdmiCecSystemInformationTest#cectGiveCecVersionInStandby,pass,java.lang.Exception: Power status did not change to expected state.,retry >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsHdmiCecHostTestCases,android.hdmicec.cts.common.HdmiCecSystemStandbyTest#cect_HandleBroadcastStandby,pass,"MultipleFailureException, There were 2 errors:","retry >> PASS, stay awake OFF >> retry >> PASS",204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsHdmiCecHostTestCases,android.hdmicec.cts.common.HdmiCecSystemStandbyTest#cect_HandleAddressedStandby,pass,"MultipleFailureException, There were 2 errors:",retry >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsHdmiCecHostTestCases,android.hdmicec.cts.playback.HdmiCecPowerStatusTest#cect_hf4_6_7_setStreamPath_powerOn,pass,android.hdmicec.cts.error.CecClientWrapperException: Could not find CEC message REPORT_POWER_STATUS,retry >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsHdmiCecHostTestCases,android.hdmicec.cts.playback.HdmiCecRemoteControlPassThroughTest#cect_sendVolumeKeyPressToTv,pass,android.hdmicec.cts.error.CecClientWrapperException: Could not find CEC message GIVE_POWER_STATUS,cec export setting >> volume control option ON >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsMediaV2TestCases,android.mediav2.cts.CodecDecoderPauseTest#testPause[1_c2.syna.video_decoder.avc_video/avc],pass,java.lang.AssertionError: Output timestamps are not strictly increasing,synap patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,armeabi-v7a,CtsMediaV2TestCases,android.mediav2.cts.CodecDecoderPauseTest#testPause[1_c2.syna.video_decoder.avc_video/avc],pass,java.lang.AssertionError: Output timestamps are not strictly increasing,synap patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsSecurityTestCases,android.security.cts.PackageSignatureTest#testPackageSignatures,pass,"junit.framework.AssertionFailedError: These packages should not be signed with a well known key: [android.media.audio.app, android.media.router.cts.provider_self_scan_only, android.media.router.cts.provider1, com.google.wireless.android.media.videoquality.app, android.media.router.cts.provider2, com.android.server.cts.device.statsdalarmhelper2, android.media.router.cts.provider3, android.cts.backup.fullbackupapp, android.media.router.cts]",factory reset >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFilterTest#testMmtpFilterConfiguration,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFilterTest#testSectionSettingsWithTableInfo,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
2025-05-07,arm64-v8a,CtsTvTestCases,android.media.tv.tuner.cts.TunerFilterTest#testMMtpSectionSettingsWithTableInfo,pass,"java.lang.UnsatisfiedLinkError: No implementation found for void android.media.tv.tuner.Tuner.nativeSetup() (tried Java_android_media_tv_tuner_Tuner_nativeSetup and Java_android_media_tv_tuner_Tuner_nativeSetup__) - is the library loaded, e.g. System.loadLibrary?",device spec - tv tuner option delete patch >> PASS,204_A,14_r7 / 13033356,2025-03-01,1.2.0
