| Module                                           | ABI         | Total Tests |
| :--------------------------------------------    |:----------- | :---------- |
| [[ApkVerityTest]]                                | armeabi-v7a | 19          |
| [[CtsPackageWatchdogTestCases]]                  | armeabi-v7a | 1           |
| [[CtsUffdGcTestCases]]                           | armeabi-v7a | 5           |
| [[CtsUsbManagerTestCases]]                       | armeabi-v7a | 22          |
| [[FastbootGetvarUserspaceTest]]                  | armeabi-v7a | 9           |
| [[FastbootVerifyUserspaceTest]]                  | armeabi-v7a | 5           |
| [[FirmwareBootHeaderVerification]]               | armeabi-v7a | 2           |
| [[FirmwareDtboVerification]]                     | armeabi-v7a | 2           |
| [[GpuServiceVendorTests]]                        | armeabi-v7a | 2           |
| [[HalAudioV6_0GeneratorTest]]                    | armeabi-v7a | 4           |
| [[HalAudioV7_0GeneratorTest]]                    | armeabi-v7a | 5           |
| [[HalUsbGadgetV1_0HostTest]]                     | armeabi-v7a | 4           |
| [[KernelAbilistTest]]                            | armeabi-v7a | 1           |
| [[KernelApiSysfsTest]]                           | armeabi-v7a | 12          |
| [[KernelDynamicPartitionsTest]]                  | armeabi-v7a | 1           |
| [[KernelLibcutilsTest]]                          | armeabi-v7a | 6           |
| [[KernelSelinuxFileApiTest]]                     | armeabi-v7a | 3           |
| [[RpcTlsUtilsTest]]                              | armeabi-v7a | 8           |
| [[SdcardfsTest]]                                 | armeabi-v7a | 1           |
| [[SuspendSepolicyTests]]                         | armeabi-v7a | 1           |
| [[SystemSuspendV1_0AidlTest]]                    | armeabi-v7a | 6           |
| [[UpdatableSystemFontTest]]                      | armeabi-v7a | 14          |
| [[VtsAidlCameraServiceTargetTest]]               | armeabi-v7a | 2           |
| [[VtsAidlHalAudioControlTest]]                   | armeabi-v7a | 0           |
| [[VtsAidlHalCameraProvider_TargetTest]]          | armeabi-v7a | 42          |
| [[VtsAidlHalContextHubTargetTest]]               | armeabi-v7a | 0           |
| [[VtsAidlHalDrmTargetTest]]                      | armeabi-v7a | 72          |
| [[VtsAidlHalNfcTargetTest]]                      | armeabi-v7a | 0           |
| [[VtsAidlHalSensorsTargetTest]]                  | armeabi-v7a | 0           |
| [[VtsAidlHalStatsTargetTest]]                    | armeabi-v7a | 4           |
| [[VtsAidlKeyMintTargetTest]]                     | armeabi-v7a | 274         |
| [[VtsAidlPowerPolicyTargetTest]]                 | armeabi-v7a | 0           |
| [[VtsAidlSecureClockTargetTest]]                 | armeabi-v7a | 2           |
| [[VtsAidlSharedSecretTargetTest]]                | armeabi-v7a | 6           |
| [[VtsAidlUsbHostTest]]                           | armeabi-v7a | 1           |
| [[VtsAidlUsbTargetTest]]                         | armeabi-v7a | 0           |
| [[VtsAidlWatchdogTargetTest]]                    | armeabi-v7a | 0           |
| [[VtsBootconfigTest]]                            | armeabi-v7a | 1           |
| [[VtsFwkDisplayServiceV1_0TargetTest]]           | armeabi-v7a | 0           |
| [[VtsGpuTests]]                                  | armeabi-v7a | 7           |
| [[VtsHalAECTargetTest]]                          | armeabi-v7a | 0           |
